,Phone Name & Brand,RAM & ROM,Display,Camera,Battary,Warranty,URL
0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,12 Months,"Add to Compare
OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)
4.456,990 Ratings & 4,215 Reviews
6 GB RAM | 128 GB ROM
16.74 cm (6.59 inch) Display
64MP Rear Camera
5000 mAh Battery
12 Months
₹18,997
₹19,9995% off
Free delivery
Bank Offer"
1,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",8 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,12 months,"Currently unavailable
Add to Compare
OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)
4.34,915 Ratings & 414 Reviews
8 GB RAM | 128 GB ROM
16.74 cm (6.59 inch) Display
64MP Rear Camera
5000 mAh Battery
12 months
₹21,995
₹21,999
Free delivery
Bank Offer"
2,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,12 months,"Add to Compare
OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)
4.456,990 Ratings & 4,215 Reviews
6 GB RAM | 128 GB ROM
16.74 cm (6.59 inch) Display
64MP Rear Camera
5000 mAh Battery
12 months
₹18,890
₹19,9995% off
Free delivery
Bank Offer"
3,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",8 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,12 months,"Add to Compare
OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)
4.34,915 Ratings & 414 Reviews
8 GB RAM | 128 GB ROM
16.74 cm (6.59 inch) Display
64MP Rear Camera
5000 mAh Battery
12 months
₹21,844
₹21,999
Free delivery
Bank Offer"
4,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Month,"Currently unavailable
Add to Compare
OnePlus Nord 2T 5G (Gray Shadow, 128 GB)
4.36,467 Ratings & 582 Reviews
8 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Month
₹28,990
₹28,999
Free delivery
Bank Offer"
5,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Month,"Add to Compare
OnePlus Nord 2T 5G (Jade Fog, 128 GB)
4.36,467 Ratings & 582 Reviews
8 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Month
₹28,931
₹28,999
Free delivery
Bank Offer"
6,"OnePlus Nord 2T 5G (Jade Fog, 256 GB)",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,12 months Warranty,"Currently unavailable
Add to Compare
OnePlus Nord 2T 5G (Jade Fog, 256 GB)
4.32,268 Ratings & 170 Reviews
12 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
4500 mAh Battery
12 months Warranty
₹33,990
Free delivery
Bank Offer"
7,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Month,"Add to Compare
OnePlus Nord 2T 5G (Jade Fog, 128 GB)
4.36,467 Ratings & 582 Reviews
8 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Month
₹28,999
Free delivery
Bank Offer"
8,"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,12 months Warranty,"Currently unavailable
Add to Compare
OnePlus Nord 2T 5G (Gray Shadow, 256 GB)
4.32,268 Ratings & 170 Reviews
12 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
4500 mAh Battery
12 months Warranty
₹32,999
Free delivery
Bank Offer"
9,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Month,"Add to Compare
OnePlus Nord 2T 5G (Gray Shadow, 128 GB)
4.36,467 Ratings & 582 Reviews
8 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Month
₹28,990
₹28,999
Free delivery
Bank Offer"
