STATE,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
A & N ISLANDS,MURDER,13,14,16,15,14,4,13,14,16,15,14,4
ANDHRA PRADESH,MURDER,2602,2525,21,2579,2750,2766,2602,2525,21,2579,2750,2766
ARUNACHAL PRADESH,MURDER,83,61,2667,67,81,60,83,61,2667,67,81,60
ASSAM,MURDER,1356,1253,77,1214,1194,1207,1356,1253,77,1214,1194,1207
BIHAR,MURDER,3643,3712,1191,3948,3471,3249,3643,3712,1191,3948,3471,3249
CHANDIGARH,MURDER,15,31,3771,22,18,12,15,31,3771,22,18,12
CHHATTISGARH,MURDER,880,844,21,927,1013,1098,880,844,21,927,1013,1098
D & N HAVELI,MURDER,3,11,776,11,7,9,3,11,776,11,7,9
DAMAN & DIU,MURDER,7,8,11,3,5,6,7,8,11,3,5,6
DELHI UT,MURDER,70,73,6,67,57,66,70,73,6,67,57,66
GOA,MURDER,36,30,72,40,45,39,36,30,72,40,45,39
GUJARAT,MURDER,1226,1532,34,1113,1033,1165,1226,1532,34,1113,1033,1165
HARYANA,MURDER,781,760,1114,733,784,873,781,760,1114,733,784,873
HIMACHAL PRADESH,MURDER,119,123,702,110,110,111,119,123,702,110,110,111
JAMMU & KASHMIR,MURDER,1075,1048,125,816,647,487,1075,1048,125,816,647,487
JHARKHAND,MURDER,1507,1488,929,1488,1523,1492,1507,1488,929,1488,1523,1492
KARNATAKA,MURDER,1626,1627,1482,1519,1609,1627,1626,1627,1482,1519,1609,1627
KERALA,MURDER,472,454,1506,417,388,393,472,454,1506,417,388,393
LAKSHADWEEP,MURDER,1,0,435,0,1,0,1,0,435,0,1,0
MADHYA PRADESH,MURDER,2425,2395,2227,2379,2405,2309,2425,2395,2227,2379,2405,2309
MAHARASHTRA,MURDER,2839,2768,2772,2696,2621,2656,2839,2768,2772,2696,2621,2656
MANIPUR,MURDER,209,165,150,159,256,205,209,165,150,159,256,205
MEGHALAYA,MURDER,164,167,175,124,134,157,164,167,175,124,134,157
MIZORAM,MURDER,31,29,46,35,24,25,31,29,46,35,24,25
NAGALAND,MURDER,101,100,91,70,87,123,101,100,91,70,87,123
ODISHA,MURDER,987,1075,1044,1066,1079,1159,987,1075,1044,1066,1079,1159
PUDUCHERRY,MURDER,25,29,29,25,19,28,25,29,29,25,19,28
PUNJAB,MURDER,738,733,731,775,713,817,738,733,731,775,713,817
RAJASTHAN,MURDER,1259,1276,1262,1279,1221,1209,1259,1276,1262,1279,1221,1209
SIKKIM,MURDER,19,13,14,16,8,21,19,13,14,16,8,21
TAMIL NADU,MURDER,1662,1723,1591,1479,1440,1363,1662,1723,1591,1479,1440,1363
TRIPURA,MURDER,240,201,254,189,121,154,240,201,254,189,121,154
UTTAR PRADESH,MURDER,7601,6825,5284,6126,5711,5480,7601,6825,5284,6126,5711,5480
UTTARAKHAND,MURDER,316,292,268,262,279,274,316,292,268,262,279,274
WEST BENGAL,MURDER,1594,1444,1425,1425,1453,1425,1594,1444,1425,1425,1453,1425
A & N ISLANDS,RAPE,3,1,2,10,4,6,3,1,2,10,4,6
ANDHRA PRADESH,RAPE,871,1002,2,1016,935,1049,871,1002,2,1016,935,1049
ARUNACHAL PRADESH,RAPE,33,38,946,42,35,37,33,38,946,42,35,37
ASSAM,RAPE,817,970,31,1171,1238,1244,817,970,31,1171,1238,1244
BIHAR,RAPE,888,1040,1095,1390,1147,1232,888,1040,1095,1390,1147,1232
CHANDIGARH,RAPE,18,18,985,19,33,19,18,18,985,19,33,19
CHHATTISGARH,RAPE,959,992,18,969,990,995,959,992,18,969,990,995
D & N HAVELI,RAPE,6,4,898,7,5,6,6,4,898,7,5,6
DAMAN & DIU,RAPE,0,0,1,1,2,3,0,0,1,1,2,3
DELHI UT,RAPE,45,44,5,58,94,88,45,44,5,58,94,88
GOA,RAPE,12,12,70,37,20,21,12,12,70,37,20,21
GUJARAT,RAPE,286,267,31,339,324,354,286,267,31,339,324,354
HARYANA,RAPE,398,361,236,386,461,608,398,361,236,386,461,608
HIMACHAL PRADESH,RAPE,124,137,353,153,141,113,124,137,353,153,141,113
JAMMU & KASHMIR,RAPE,169,192,126,218,201,250,169,192,126,218,201,250
JHARKHAND,RAPE,567,797,211,797,753,799,567,797,211,797,753,799
KARNATAKA,RAPE,293,292,712,291,343,400,293,292,712,291,343,400
KERALA,RAPE,562,499,321,480,478,601,562,499,321,480,478,601
LAKSHADWEEP,RAPE,0,1,394,0,0,0,0,1,394,0,0,0
MADHYA PRADESH,RAPE,2851,2891,2,2875,2921,2900,2851,2891,2,2875,2921,2900
MAHARASHTRA,RAPE,1302,1352,2738,1388,1545,1500,1302,1352,2738,1388,1545,1500
MANIPUR,RAPE,20,14,1268,31,25,40,20,14,1268,31,25,40
MEGHALAYA,RAPE,26,38,18,54,63,74,26,38,18,54,63,74
MIZORAM,RAPE,52,76,40,20,37,72,52,76,40,20,37,72
NAGALAND,RAPE,17,17,54,18,17,23,17,17,54,18,17,23
ODISHA,RAPE,790,691,14,770,799,985,790,691,14,770,799,985
PUDUCHERRY,RAPE,9,6,725,4,6,8,9,6,725,4,6,8
PUNJAB,RAPE,298,299,2,390,398,442,298,299,2,390,398,442
RAJASTHAN,RAPE,1049,1051,380,1038,993,1085,1049,1051,380,1038,993,1085
SIKKIM,RAPE,8,6,1050,3,18,20,8,6,1050,3,18,20
TAMIL NADU,RAPE,423,534,10,618,571,457,423,534,10,618,571,457
TRIPURA,RAPE,102,108,557,160,162,189,102,108,557,160,162,189
UTTAR PRADESH,RAPE,1958,1415,114,1397,1217,1314,1958,1415,114,1397,1217,1314
UTTARAKHAND,RAPE,74,89,911,115,133,147,74,89,911,115,133,147
WEST BENGAL,RAPE,709,759,107,1475,1686,1731,709,759,107,1475,1686,1731
